« Index,Raw,Kalman
0,26.96,26.96
1,26.89,26.96
2,27.00,26.96
3,27.52,26.99
4,28.26,27.10
5,28.76,27.29
6,29.19,27.57
7,29.49,27.88
8,29.76,28.18
9,29.95,28.44
10,30.13,28.68
11,30.25,28.88
12,30.32,29.06
13,30.32,29.19
14,30.18,29.29
15,30.38,29.39
16,30.48,29.50
17,30.48,29.59
18,30.50,29.67
19,30.48,29.74
20,30.52,29.80
21,30.59,29.86
22,30.59,29.92
23,30.59,29.97
24,30.64,30.02
25,30.66,30.07
26,30.69,30.11
27,30.62,30.15
28,30.66,30.18
29,30.48,30.20
30,30.66,30.23
31,30.59,30.26
32,30.59,30.28
33,30.59,30.30
34,30.55,30.31
35,30.52,30.33
36,30.41,30.33
37,30.15,30.32
38,29.85,30.29
39,29.67,30.25
40,29.31,30.19
41,28.83,30.07
42,28.53,29.91
43,28.40,29.75
44,28.22,29.58
45,27.99,29.39
46,27.81,29.19
47,27.81,29.04
48,27.79,28.91
49,27.79,28.80
50,28.15,28.75
51,27.61,28.64
52,27.68,28.55
53,27.59,28.47
54,27.59,28.40
55,27.56,28.33
56,27.52,28.26
57,27.50,28.20
58,27.47,28.15
59,27.41,28.09
60,27.43,28.04
61,27.38,27.99
62,27.41,27.95
63,27.27,27.90
64,0.00,27.90
65,0.00,27.90
66,0.00,27.90
