« Index,Raw,MA
0,26.96,26.96
1,26.89,26.92
2,27.00,26.95
3,27.52,27.09
4,28.26,27.33
5,28.76,27.69
6,29.19,28.15
7,29.49,28.64
8,29.76,29.09
9,29.95,29.43
10,30.13,29.70
11,30.25,29.92
12,30.32,30.08
13,30.32,30.19
14,30.18,30.24
15,30.38,30.29
16,30.48,30.34
17,30.48,30.37
18,30.50,30.40
19,30.48,30.46
20,30.52,30.49
21,30.59,30.51
22,30.59,30.54
23,30.59,30.55
24,30.64,30.59
25,30.66,30.61
26,30.69,30.63
27,30.62,30.64
28,30.66,30.65
29,30.48,30.62
30,30.66,30.62
31,30.59,30.60
32,30.59,30.60
33,30.59,30.58
34,30.55,30.60
35,30.52,30.57
36,30.41,30.53
37,30.15,30.44
38,29.85,30.30
39,29.67,30.12
40,29.31,29.88
41,28.83,29.56
42,28.53,29.24
43,28.40,28.95
44,28.22,28.66
45,27.99,28.39
46,27.81,28.19
47,27.81,28.05
48,27.79,27.92
49,27.79,27.84
50,28.15,27.87
51,27.61,27.83
52,27.68,27.80
53,27.59,27.76
54,27.59,27.72
55,27.56,27.61
56,27.52,27.59
57,27.50,27.55
58,27.47,27.53
59,27.41,27.49
60,27.43,27.47
61,27.38,27.44
62,27.41,27.42
63,27.27,27.38
64,0.00,21.90
65,0.00,16.41
66,0.00,10.94
