« Index,Raw,Median
0,20.00,20.00
1,20.30,20.15
2,19.80,20.00
3,20.50,20.15
4,19.60,20.00
5,20.20,20.20
6,20.00,20.00
7,20.40,20.20
8,19.90,20.00
9,20.10,20.10
10,21.00,20.10
11,22.50,20.40
12,21.80,21.00
13,24.00,21.80
14,23.20,22.50
15,26.00,23.20
16,25.00,24.00
17,28.50,25.00
18,27.20,26.00
19,30.00,27.20
20,28.80,28.50
21,32.00,28.80
22,30.50,30.00
23,34.00,30.50
24,32.80,32.00
25,36.50,32.80
26,34.70,34.00
27,38.00,34.70
28,36.20,36.20
29,40.00,36.50
30,38.50,38.00
31,42.00,38.50
32,40.00,40.00
33,44.50,40.00
34,42.80,42.00
35,47.00,42.80
36,45.00,44.50
37,49.00,45.00
38,46.80,46.80
39,51.00,47.00
40,48.50,48.50
41,52.50,49.00
42,50.20,50.20
43,54.00,51.00
44,51.80,51.80
45,55.50,52.50
46,53.00,53.00
47,56.00,54.00
48,54.20,54.20
49,57.50,55.50
50,55.80,55.80
51,58.00,56.00
52,56.50,56.50
53,59.00,57.50
54,57.20,57.20
55,60.00,58.00
56,58.00,58.00
57,61.50,59.00
58,59.00,59.00
59,62.00,60.00
60,60.50,60.50
61,63.00,61.50
62,61.00,61.00
63,64.00,62.00
64,62.20,62.20
65,65.00,63.00
66,63.00,63.00
67,64.50,64.00
68,62.80,63.00
69,65.50,64.50
70,64.00,64.00
71,63.50,64.00
72,65.00,64.00
73,62.50,64.00
74,64.20,64.00
75,61.80,63.50
76,63.00,63.00
77,60.50,62.50
78,62.00,62.00
79,59.00,61.80
80,60.50,60.50
81,57.50,60.50
82,59.00,59.00
83,55.00,59.00
84,56.50,57.50
85,52.50,56.50
86,54.00,55.00
87,50.00,54.00
88,51.50,52.50
89,47.50,51.50
90,49.00,50.00
91,44.50,49.00
92,46.00,47.50
93,41.50,46.00
94,43.00,44.50
95,38.50,43.00
96,40.00,41.50
97,35.50,40.00
98,37.00,38.50
99,32.50,37.00
100,34.00,35.50
101,29.50,34.00
102,31.00,32.50
103,26.50,31.00
104,28.00,29.50
105,24.00,28.00
106,25.50,26.50
107,22.00,25.50
108,23.00,24.00
109,20.50,23.00
