« Index,Raw,Kalman
0,25.00,25.00
1,25.60,25.30
2,24.30,24.85
3,26.20,25.44
4,23.80,24.73
5,25.50,25.06
6,24.70,24.91
7,26.80,25.73
8,23.50,24.76
9,25.10,24.91
10,24.20,24.60
11,27.10,25.69
12,25.70,25.69
13,23.90,24.91
14,26.50,25.60
15,24.80,25.25
16,25.30,25.27
17,22.90,24.24
18,27.40,25.61
19,24.60,25.17
20,55.00,38.13
21,25.20,32.51
22,24.40,28.99
23,26.10,27.73
24,23.60,25.94
25,25.80,25.88
26,24.90,25.45
27,27.00,26.13
28,23.40,24.94
29,25.00,24.97
30,24.10,24.59
31,26.70,25.51
32,25.50,25.50
33,23.70,24.72
34,27.20,25.80
35,24.50,25.23
36,-5.00,12.10
37,25.40,17.88
38,24.80,20.88
39,26.00,23.11
40,23.30,23.19
41,25.70,24.28
42,24.20,24.25
43,27.60,25.70
44,25.10,25.44
45,23.90,24.77
46,26.40,25.48
47,24.60,25.10
48,25.80,25.40
49,23.50,24.58
50,25.00,24.76
51,24.40,24.60
52,26.90,25.60
53,23.80,24.82
54,25.60,25.16
55,24.70,24.96
56,27.30,25.98
57,25.20,25.64
58,23.60,24.75
59,26.10,25.34
60,65.00,42.56
61,24.90,34.89
62,25.50,30.81
63,23.70,27.72
64,26.80,27.32
65,24.30,26.01
66,25.90,25.96
67,23.20,24.76
68,27.00,25.73
69,24.80,25.33
70,25.30,25.32
71,26.50,25.83
72,23.90,24.99
73,25.70,25.30
74,24.60,25.00
75,27.20,25.95
76,23.50,24.89
77,25.10,24.98
78,24.40,24.73
79,26.00,25.28
80,24.70,25.03
81,25.60,25.28
82,23.80,24.64
83,26.60,25.49
84,24.20,24.93
85,25.40,25.13
86,27.10,25.99
87,23.60,24.95
88,25.00,24.97
89,24.50,24.77
90,26.30,25.43
91,23.90,24.77
92,25.80,25.22
93,24.70,24.99
94,27.40,26.04
95,25.20,25.67
96,23.50,24.73
97,26.10,25.32
98,24.30,24.88
99,25.00,24.93
