« Index,Raw,Kalman
0,25.00,25.00
1,25.60,25.01
2,24.30,24.99
3,26.20,25.05
4,23.80,24.96
5,25.50,25.00
6,24.70,24.98
7,26.80,25.21
8,23.50,24.95
9,25.10,24.97
10,24.20,24.87
11,27.10,25.33
12,25.70,25.38
13,23.90,25.14
14,26.50,25.36
15,24.80,25.28
16,25.30,25.29
17,22.90,24.74
18,27.40,25.54
19,24.60,25.36
20,55.00,25.36
21,25.20,25.34
22,24.40,25.21
23,26.10,25.33
24,23.60,25.03
25,25.80,25.14
26,24.90,25.11
27,27.00,25.45
28,23.40,25.01
29,25.00,25.01
30,24.10,24.87
31,26.70,25.22
32,25.50,25.26
33,23.70,24.99
34,27.20,25.50
35,24.50,25.33
36,-5.00,25.33
37,25.40,25.34
38,24.80,25.27
39,26.00,25.36
40,23.30,24.97
41,25.70,25.08
42,24.20,24.96
43,27.60,25.66
44,25.10,25.57
45,23.90,25.25
46,26.40,25.44
47,24.60,25.32
48,25.80,25.38
49,23.50,25.03
50,25.00,25.03
51,24.40,24.95
52,26.90,25.31
53,23.80,25.04
54,25.60,25.12
55,24.70,25.07
56,27.30,25.55
57,25.20,25.50
58,23.60,25.12
59,26.10,25.28
60,65.00,25.28
61,24.90,25.23
62,25.50,25.26
63,23.70,25.03
64,26.80,25.34
65,24.30,25.18
66,25.90,25.28
67,23.20,24.86
68,27.00,25.36
69,24.80,25.27
70,25.30,25.27
71,26.50,25.46
72,23.90,25.19
73,25.70,25.26
74,24.60,25.18
75,27.20,25.57
76,23.50,25.11
77,25.10,25.11
78,24.40,25.00
79,26.00,25.15
80,24.70,25.09
81,25.60,25.15
82,23.80,24.96
83,26.60,25.23
84,24.20,25.08
85,25.40,25.12
86,27.10,25.49
87,23.60,25.11
88,25.00,25.09
89,24.50,25.01
90,26.30,25.20
91,23.90,25.00
92,25.80,25.11
93,24.70,25.06
94,27.40,25.58
95,25.20,25.52
96,23.50,25.10
97,26.10,25.26
98,24.30,25.12
99,25.00,25.10
