« Index,Raw,MA
0,25.00,25.00
1,25.60,25.30
2,24.30,24.97
3,26.20,25.27
4,23.80,24.98
5,25.50,25.08
6,24.70,24.90
7,26.80,25.40
8,23.50,24.86
9,25.10,25.12
10,24.20,24.86
11,27.10,25.34
12,25.70,25.12
13,23.90,25.20
14,26.50,25.48
15,24.80,25.60
16,25.30,25.24
17,22.90,24.68
18,27.40,25.38
19,24.60,25.00
20,55.00,31.04
21,25.20,31.02
22,24.40,31.32
23,26.10,31.06
24,23.60,30.86
25,25.80,25.02
26,24.90,24.96
27,27.00,25.48
28,23.40,24.94
29,25.00,25.22
30,24.10,24.88
31,26.70,25.24
32,25.50,24.94
33,23.70,25.00
34,27.20,25.44
35,24.50,25.52
36,-5.00,19.18
37,25.40,19.16
38,24.80,19.38
39,26.00,19.14
40,23.30,18.90
41,25.70,25.04
42,24.20,24.80
43,27.60,25.36
44,25.10,25.18
45,23.90,25.30
46,26.40,25.44
47,24.60,25.52
48,25.80,25.16
49,23.50,24.84
50,25.00,25.06
51,24.40,24.66
52,26.90,25.12
53,23.80,24.72
54,25.60,25.14
55,24.70,25.08
56,27.30,25.66
57,25.20,25.32
58,23.60,25.28
59,26.10,25.38
60,65.00,33.44
61,24.90,32.96
62,25.50,33.02
63,23.70,33.04
64,26.80,33.18
65,24.30,25.04
66,25.90,25.24
67,23.20,24.78
68,27.00,25.44
69,24.80,25.04
70,25.30,25.24
71,26.50,25.36
72,23.90,25.50
73,25.70,25.24
74,24.60,25.20
75,27.20,25.58
76,23.50,24.98
77,25.10,25.22
78,24.40,24.96
79,26.00,25.24
80,24.70,24.74
81,25.60,25.16
82,23.80,24.90
83,26.60,25.34
84,24.20,24.98
85,25.40,25.12
86,27.10,25.42
87,23.60,25.38
88,25.00,25.06
89,24.50,25.12
90,26.30,25.30
91,23.90,24.66
92,25.80,25.10
93,24.70,25.04
94,27.40,25.62
95,25.20,25.40
96,23.50,25.32
97,26.10,25.38
98,24.30,25.30
99,25.00,24.82
